City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Pisco,PE,68.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
2,Chama,CH,49.28,broken clouds,47.1821,8.4636,City Garden Hotel
3,Rikitea,PF,73.04,moderate rain,-23.1203,-134.9692,People ThankYou
5,Ponta Do Sol,PT,70.72,broken clouds,32.6667,-17.1,Hotel do Campo
6,Hobart,AU,54.27,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
7,Te Anau,NZ,60.91,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
8,Asau,RO,45.05,broken clouds,46.4333,26.4,Casa Mika Ciobanus
9,Mataura,NZ,58.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
10,Bluff,NZ,58.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
11,Mar Del Plata,AR,69.84,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
12,Punta Arenas,CL,55.51,broken clouds,-53.15,-70.9167,Hotel Hain
13,Bethel,US,44.76,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
15,Ushuaia,AR,55.06,broken clouds,-54.8,-68.3,Albatross Hotel
16,Kodiak,US,42.31,moderate rain,57.79,-152.4072,Best Western Kodiak Inn
17,Saint-Philippe,RE,69.39,scattered clouds,-21.3585,55.7679,Le four à pain
18,Carballo,ES,61.02,overcast clouds,43.213,-8.691,Pazo do Souto
27,Kruisfontein,ZA,60.89,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
29,East London,ZA,67.17,broken clouds,-33.0153,27.9116,Tu Casa
30,Busselton,AU,59.16,broken clouds,-33.65,115.3333,Observatory Guest House
34,Arraial Do Cabo,BR,73.36,light rain,-22.9661,-42.0278,Pousada Porto Praia
35,Juneau,US,43.21,scattered clouds,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
36,Carnarvon,AU,66.87,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
37,Sakakah,SA,63.97,overcast clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
38,Posse,BR,68.27,overcast clouds,-14.0931,-46.3694,Pousada das Palmeiras
39,Albany,US,40.51,overcast clouds,42.6001,-73.9662,
40,Freeport,US,48.18,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
