City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tuktoyaktuk,CA,69.4541,-133.0374,12.2,79,75,12.66,broken clouds
1,Pisco,PE,-13.7,-76.2167,68.05,73,0,19.57,clear sky
2,Chama,CH,47.1821,8.4636,49.28,90,75,0.0,broken clouds
3,Rikitea,PF,-23.1203,-134.9692,73.04,90,100,26.89,moderate rain
4,Ondangwa,NA,-17.9167,15.95,82.54,37,88,12.35,overcast clouds
5,Ponta Do Sol,PT,32.6667,-17.1,70.72,85,74,8.23,broken clouds
6,Hobart,AU,-42.8794,147.3294,54.27,66,75,2.3,broken clouds
7,Te Anau,NZ,-45.4167,167.7167,60.91,72,100,0.43,overcast clouds
8,Asau,RO,46.4333,26.4,45.05,89,84,3.22,broken clouds
9,Mataura,NZ,-46.1927,168.8643,58.48,97,100,0.94,overcast clouds
10,Bluff,NZ,-46.6,168.3333,58.8,88,100,9.22,overcast clouds
11,Mar Del Plata,AR,-38.0023,-57.5575,69.84,68,75,5.75,broken clouds
12,Punta Arenas,CL,-53.15,-70.9167,55.51,41,75,17.27,broken clouds
13,Bethel,US,41.3712,-73.414,44.76,71,0,10.36,clear sky
14,Ust-Kuyga,RU,70.0167,135.6,-37.97,100,98,7.38,overcast clouds
15,Ushuaia,AR,-54.8,-68.3,55.06,35,75,12.66,broken clouds
16,Kodiak,US,57.79,-152.4072,42.31,100,100,18.41,moderate rain
17,Saint-Philippe,RE,-21.3585,55.7679,69.39,76,37,7.4,scattered clouds
18,Carballo,ES,43.213,-8.691,61.02,87,100,7.56,overcast clouds
19,Chitral,PK,35.8462,71.7858,34.11,47,0,9.35,clear sky
20,Tiksi,RU,71.6872,128.8694,-22.02,99,89,4.5,overcast clouds
21,Qaanaaq,GL,77.484,-69.3632,-2.31,98,100,3.11,overcast clouds
22,Dikson,RU,73.5069,80.5464,-2.33,98,100,11.5,overcast clouds
23,Oksfjord,NO,70.2396,22.3479,30.38,36,16,5.97,few clouds
24,Abu Dhabi,AE,24.4667,54.3667,80.62,80,0,3.44,clear sky
25,Vaini,TO,-21.2,-175.2,80.76,74,20,9.22,few clouds
26,Usinsk,RU,65.9939,57.5281,-11.06,95,6,8.7,clear sky
27,Kruisfontein,ZA,-34.0033,24.7314,60.89,72,71,6.2,broken clouds
28,Tabory,RU,58.5198,64.5495,-11.56,98,38,2.37,scattered clouds
29,East London,ZA,-33.0153,27.9116,67.17,76,81,3.27,broken clouds
30,Busselton,AU,-33.65,115.3333,59.16,76,79,14.09,broken clouds
31,Clyde River,CA,70.4692,-68.5914,5.23,85,100,20.71,light snow
32,Kavieng,PG,-2.5744,150.7967,83.01,70,100,9.06,overcast clouds
33,Mehamn,NO,71.0357,27.8492,37.35,56,0,11.5,clear sky
34,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,73,75,13.8,light rain
35,Juneau,US,58.3019,-134.4197,43.21,87,40,0.0,scattered clouds
36,Carnarvon,AU,-24.8667,113.6333,66.87,62,100,15.73,overcast clouds
37,Sakakah,SA,29.9697,40.2064,63.97,57,100,6.44,overcast clouds
38,Posse,BR,-14.0931,-46.3694,68.27,91,100,4.45,overcast clouds
39,Albany,US,42.6001,-73.9662,40.51,85,88,10.09,overcast clouds
40,Freeport,US,40.6576,-73.5832,48.18,64,0,17.27,clear sky
41,Kathu,TH,7.9178,98.3332,84.74,87,100,1.19,overcast clouds
42,Banjar,ID,-8.19,114.9675,78.96,84,100,2.93,overcast clouds
43,Plettenberg Bay,ZA,-34.0527,23.3716,61.16,76,97,4.65,overcast clouds
44,Atuona,PF,-9.8,-139.0333,78.03,75,3,13.02,clear sky
45,Healesville,AU,-37.65,145.5167,56.62,77,89,5.35,overcast clouds
46,Hay River,CA,60.8156,-115.7999,13.98,73,75,9.22,broken clouds
47,Barrow,US,71.2906,-156.7887,28.42,74,0,20.71,clear sky
48,Victoria,HK,22.2855,114.1577,74.32,87,97,10.0,overcast clouds
49,Oussouye,SN,12.485,-16.5469,80.69,75,97,5.59,overcast clouds
50,Banda Aceh,ID,5.5577,95.3222,78.37,79,100,14.03,overcast clouds
51,San Patricio,US,28.017,-97.5169,51.67,62,100,9.66,overcast clouds
52,San Pedro,PH,14.35,121.0167,78.03,93,40,3.44,scattered clouds
53,Hithadhoo,MV,-0.6,73.0833,80.53,78,54,10.74,broken clouds
54,Roebourne,AU,-20.7833,117.1333,72.12,65,5,9.82,clear sky
55,Fortuna,US,40.5982,-124.1573,64.92,68,0,5.75,clear sky
56,Georgetown,MY,5.4112,100.3354,78.73,95,20,0.0,few clouds
57,Saraland,US,30.8207,-88.0706,53.62,66,100,8.9,overcast clouds
58,Fukue,JP,32.6881,128.8419,61.43,53,100,5.12,light rain
59,Celestun,MX,20.8667,-90.4,80.62,74,23,13.31,light rain
60,Lufilufi,WS,-13.8745,-171.5986,85.78,73,30,10.0,scattered clouds
